Ni,Ti,Al,FCC
16.0,3.0,7.0,7.563078447069394
17.0,3.0,7.0,8.956220557053355
18.0,3.0,7.0,10.305713206143036
19.0,3.0,7.0,11.617581086107139
20.0,3.0,7.0,12.89698242574874
15.0,4.0,7.0,0.1933412585744569
16.0,4.0,7.0,2.1219322735208386
17.0,4.0,7.0,3.867375707968259
18.0,4.0,7.0,5.489259684725354
19.0,4.0,7.0,7.019817702482925
20.0,4.0,7.0,8.478749865651245
15.0,5.0,7.0,0.0
16.0,5.0,7.0,0.0
17.0,5.0,7.0,0.0
18.0,5.0,7.0,0.0
19.0,5.0,7.0,1.0629242870055193
20.0,5.0,7.0,3.0978903359123455
15.0,6.0,7.0,0.19583137161072217
16.0,6.0,7.0,0.4842377310819021
17.0,6.0,7.0,0.7726534019382363
18.0,6.0,7.0,1.061080793599408
19.0,6.0,7.0,1.3494970973793592
20.0,6.0,7.0,1.6379038157945398
15.0,7.0,7.0,2.5967575799154705
16.0,7.0,7.0,2.8851465946539023
17.0,7.0,7.0,3.1734753377947857
18.0,7.0,7.0,3.461925191691225
19.0,7.0,7.0,3.7503086515015895
20.0,7.0,7.0,4.038818627233584
15.0,8.0,7.0,4.99770640870055
16.0,8.0,7.0,5.286058101561653
17.0,8.0,7.0,5.574528155940593
18.0,8.0,7.0,5.862932780775951
19.0,8.0,7.0,6.151272064051439
20.0,8.0,7.0,6.439726776061813
15.0,9.0,7.0,7.398475951948483
16.0,9.0,7.0,7.686971753207748
17.0,9.0,7.0,7.975403089139592
18.0,9.0,7.0,8.263770046229258
19.0,9.0,7.0,8.552249665239904
20.0,9.0,7.0,8.840680903409739
15.0,10.0,7.0,9.799425710241888
16.0,10.0,7.0,10.08789037863307
17.0,10.0,7.0,10.37627150206001
18.0,10.0,7.0,10.664802757861183
19.0,10.0,7.0,10.953055564707274
20.0,10.0,7.0,11.241631539796678
15.0,11.0,7.0,12.200310335574645
16.0,11.0,7.0,12.488751455265291
17.0,11.0,7.0,12.77729965166948
18.0,11.0,7.0,13.065590101190164
19.0,11.0,7.0,13.354011347027663
20.0,11.0,7.0,13.64256321408685
15.0,12.0,7.0,14.601310626198893
16.0,12.0,7.0,14.889707313654805
17.0,12.0,7.0,15.178041571894706
18.0,12.0,7.0,15.466507967995769
19.0,12.0,7.0,15.754911928399665
20.0,12.0,7.0,16.04341667298175
15.0,13.0,7.0,16.37280333911958
16.0,13.0,7.0,17.29055501726326
17.0,13.0,7.0,17.579072699530567
18.0,13.0,7.0,17.867528900748937
19.0,13.0,7.0,18.155888354126752
20.0,13.0,7.0,18.444380007511878
15.0,14.0,7.0,16.363433920395053
16.0,14.0,7.0,17.646381180733993
17.0,14.0,7.0,18.921978285774507
18.0,14.0,7.0,20.190748930475547
19.0,14.0,7.0,20.556158950469833
20.0,14.0,7.0,20.84519011125231
15.0,15.0,7.0,16.421826121150584
16.0,15.0,7.0,17.700513321926177
17.0,15.0,7.0,18.971387914824415
18.0,15.0,7.0,20.235234355156983
19.0,15.0,7.0,21.48979508140695
20.0,15.0,7.0,22.739339897400658
15.0,1.0,8.0,16.39241864899412
16.0,1.0,8.0,17.62196453803376
17.0,1.0,8.0,18.830314447181568
18.0,1.0,8.0,20.01900318264685
19.0,1.0,8.0,21.19141379044089
20.0,1.0,8.0,22.349225215282292
15.0,2.0,8.0,12.195051092741654
16.0,2.0,8.0,13.537780685978237
17.0,2.0,8.0,14.844478673627748
18.0,2.0,8.0,16.11922399953579
19.0,2.0,8.0,17.36595249419034
20.0,2.0,8.0,18.587600536452076
15.0,3.0,8.0,7.446626914079323
16.0,3.0,8.0,9.017882591085268
17.0,3.0,8.0,10.51137244565723
18.0,3.0,8.0,11.942310858847573
19.0,3.0,8.0,13.321431475894869
20.0,3.0,8.0,14.656710756022125
15.0,4.0,8.0,3.3184258993029383
16.0,4.0,8.0,3.606673890500658
17.0,4.0,8.0,5.344803490737434
18.0,4.0,8.0,7.149869427381835
19.0,4.0,8.0,8.809218602432257
20.0,4.0,8.0,10.365120841119321
15.0,5.0,8.0,5.719300157215573
16.0,5.0,8.0,6.007705577694667
17.0,5.0,8.0,6.296048615674123
18.0,5.0,8.0,6.584510873789426
19.0,5.0,8.0,6.872909634037859
20.0,5.0,8.0,7.161244981479037
15.0,6.0,8.0,8.120111154848994
16.0,6.0,8.0,8.408487960326148
17.0,6.0,8.0,8.696981201872998
18.0,6.0,8.0,8.985411914900242
19.0,6.0,8.0,9.273780182970123
20.0,6.0,8.0,9.562280527783287
15.0,7.0,8.0,10.521025657039583
16.0,7.0,8.0,10.80955595179106
17.0,7.0,8.0,11.097829690150732
18.0,7.0,8.0,11.386214840788291
19.0,7.0,8.0,11.674755059060525
20.0,7.0,8.0,11.963210493928136
15.0,8.0,8.0,12.921990723094334
16.0,8.0,8.0,13.21047788191575
17.0,8.0,8.0,13.498734493641221
18.0,8.0,8.0,13.78732126299351
19.0,8.0,8.0,14.075624923171182
20.0,8.0,8.0,14.364062247065224
15.0,9.0,8.0,15.322964282568055
16.0,9.0,8.0,15.611271894035896
17.0,9.0,8.0,15.89968470547736
