Ni,Ti,Al,Ni3Ti
15.0,2.0,5.0,8.992415016613295
16.0,2.0,5.0,8.99616604896412
17.0,2.0,5.0,9.0075948891747
18.0,2.0,5.0,9.02520639365214
19.0,2.0,5.0,9.047661924485263
20.0,2.0,5.0,9.074051157436054
15.0,3.0,5.0,13.676140352858576
16.0,3.0,5.0,13.629385180976323
17.0,3.0,5.0,13.598281902619835
18.0,3.0,5.0,13.58090365171232
19.0,3.0,5.0,13.575591554217818
20.0,3.0,5.0,13.580587731554514
15.0,4.0,5.0,18.695491514303704
16.0,4.0,5.0,18.539910226017874
17.0,4.0,5.0,18.41592736998738
18.0,4.0,5.0,18.319322984816107
19.0,4.0,5.0,18.246142265713207
20.0,4.0,5.0,18.193719493270883
15.0,5.0,5.0,18.749586940717734
16.0,5.0,5.0,20.11407475633602
17.0,5.0,5.0,21.476327744155512
18.0,5.0,5.0,22.84109851484775
19.0,5.0,5.0,23.29990952955368
20.0,5.0,5.0,23.1196449160142
15.0,6.0,5.0,18.403936824705767
16.0,6.0,5.0,19.767747399303964
17.0,6.0,5.0,21.132349273292064
18.0,6.0,5.0,22.495698601833123
19.0,6.0,5.0,23.859684891320352
20.0,6.0,5.0,25.22425966948823
15.0,7.0,5.0,18.053905996942714
16.0,7.0,5.0,19.418321307328636
17.0,7.0,5.0,20.78148685756894
18.0,7.0,5.0,22.145295992584817
19.0,7.0,5.0,23.509703377652734
20.0,7.0,5.0,24.8747944739478
15.0,8.0,5.0,17.698305792179703
16.0,8.0,5.0,19.062031247925876
17.0,8.0,5.0,20.425648063202747
18.0,8.0,5.0,21.78987294766717
19.0,8.0,5.0,23.152891270795656
20.0,8.0,5.0,24.518405366678213
15.0,9.0,5.0,17.335248725447162
16.0,9.0,5.0,18.698623372282075
17.0,9.0,5.0,20.06287684340021
18.0,9.0,5.0,21.425657276772583
19.0,9.0,5.0,22.78908855026118
20.0,9.0,5.0,24.153169771758236
15.0,10.0,5.0,16.96200700747375
16.0,10.0,5.0,18.32506149189905
17.0,10.0,5.0,19.68744236279731
18.0,10.0,5.0,21.05067099488938
19.0,10.0,5.0,22.41455625865551
20.0,10.0,5.0,23.777153273583473
15.0,11.0,5.0,16.57453613867614
16.0,11.0,5.0,17.93631408174036
17.0,11.0,5.0,19.297423709188415
18.0,11.0,5.0,20.65919841624868
19.0,11.0,5.0,22.021595395519196
20.0,11.0,5.0,23.38279315499397
15.0,12.0,5.0,16.165552053363978
16.0,12.0,5.0,17.525289244843396
17.0,12.0,5.0,18.884518841221038
18.0,12.0,5.0,20.243501603389046
19.0,12.0,5.0,21.602544435191415
20.0,12.0,5.0,22.779394733634035
15.0,13.0,5.0,14.657264194056022
16.0,13.0,5.0,15.747647743496534
17.0,13.0,5.0,16.83783608236
18.0,13.0,5.0,17.928340105710184
19.0,13.0,5.0,19.01861684868705
20.0,13.0,5.0,20.109811283319214
15.0,14.0,5.0,11.986134783691135
16.0,14.0,5.0,13.076419489822092
17.0,14.0,5.0,14.166649127607181
18.0,14.0,5.0,15.25703794369645
19.0,14.0,5.0,16.347394559916808
20.0,14.0,5.0,17.437685700910468
15.0,15.0,5.0,9.314904537764836
16.0,15.0,5.0,10.405219385192314
17.0,15.0,5.0,11.49550619933695
18.0,15.0,5.0,12.585740910649399
19.0,15.0,5.0,13.676161155497862
20.0,15.0,5.0,14.766525050713822
15.0,1.0,6.0,3.931663137862208
16.0,1.0,6.0,3.9490037968639866
17.0,1.0,6.0,3.9740855910280546
18.0,1.0,6.0,4.005580289539039
19.0,1.0,6.0,4.042533063402266
20.0,1.0,6.0,4.083793990994246
15.0,2.0,6.0,8.482253884780773
16.0,2.0,6.0,8.455034005343697
17.0,2.0,6.0,8.44206465269519
18.0,2.0,6.0,8.441619996284064
19.0,2.0,6.0,8.452545864214258
20.0,2.0,6.0,8.473295311407904
15.0,3.0,6.0,13.282335917430583
16.0,3.0,6.0,13.166422439271006
17.0,3.0,6.0,13.07699614354376
18.0,3.0,6.0,13.0106526403737
19.0,3.0,6.0,12.964653586931146
20.0,3.0,6.0,12.9365296179939
15.0,4.0,6.0,18.682999198228103
16.0,4.0,6.0,18.364596460102867
17.0,4.0,6.0,18.109463149182307
18.0,4.0,6.0,17.905116915966946
19.0,4.0,6.0,17.742968757425697
20.0,4.0,6.0,17.61593053193612
15.0,5.0,6.0,18.710921555088447
16.0,5.0,6.0,20.07607172476907
17.0,5.0,6.0,21.43902550577043
18.0,5.0,6.0,22.80454795679098
19.0,5.0,6.0,23.20542551530591
20.0,5.0,6.0,22.83518662660026
15.0,6.0,6.0,18.34791928153459
16.0,6.0,6.0,19.712156307107108
17.0,6.0,6.0,21.075535620556376
18.0,6.0,6.0,22.439584633024463
19.0,6.0,6.0,23.804302432680334
20.0,6.0,6.0,25.169640134187254
15.0,7.0,6.0,17.97452902030867
16.0,7.0,6.0,19.33746564640227
17.0,7.0,6.0,20.701270101011644
18.0,7.0,6.0,22.06575012658954
19.0,7.0,6.0,23.4289501378005
20.0,7.0,6.0,24.79282044820654
15.0,8.0,6.0,17.58706529633725
16.0,8.0,6.0,18.94927182280862
17.0,8.0,6.0,20.312314520174464
18.0,8.0,6.0,21.673355265046474
19.0,8.0,6.0,23.035074832430446
20.0,8.0,6.0,24.397472299500006
15.0,9.0,6.0,17.178524061872015
16.0,9.0,6.0,18.538619886541312
17.0,9.0,6.0,19.851116625310173
18.0,9.0,6.0,20.940431420805876
19.0,9.0,6.0,22.030634824841222
20.0,9.0,6.0,23.121807920856547
15.0,10.0,6.0,14.998923499242606
16.0,10.0,6.0,16.089332446900496
17.0,10.0,6.0,17.17949653621371
18.0,10.0,6.0,18.269985736472204
19.0,10.0,6.0,19.359332545323365
20.0,10.0,6.0,20.451494111780278
15.0,11.0,6.0,12.327733260428419
16.0,11.0,6.0,13.417931501655978
17.0,11.0,6.0,14.508326168039131
18.0,11.0,6.0,15.598701021532355
19.0,11.0,6.0,16.689024015251682
20.0,11.0,6.0,17.779323089453698
15.0,12.0,6.0,9.656457049418044
16.0,12.0,6.0,10.746893485136722
17.0,12.0,6.0,11.837098772210695
18.0,12.0,6.0,12.927476954421074
19.0,12.0,6.0,14.017835316853086
20.0,12.0,6.0,15.108173886275528
15.0,13.0,6.0,6.985376480312709
16.0,13.0,6.0,8.075609666640284
17.0,13.0,6.0,9.166037961567627
18.0,13.0,6.0,10.256242116591514
19.0,13.0,6.0,11.346601687204084
20.0,13.0,6.0,12.436965398170576
15.0,14.0,6.0,4.314136611747047
16.0,14.0,6.0,5.404365562709047
17.0,14.0,6.0,6.494776428027564
18.0,14.0,6.0,7.58496798307884
19.0,14.0,6.0,8.675353862609981
20.0,14.0,6.0,9.76570943337965
15.0,15.0,6.0,1.642861432420966
16.0,15.0,6.0,2.7331662903681786
17.0,15.0,6.0,3.823553320713962
18.0,15.0,6.0,4.913938366831303
19.0,15.0,6.0,6.004111159884672
20.0,15.0,6.0,7.094465953173895
15.0,1.0,7.0,3.137558995567554
16.0,1.0,7.0,3.132888438933555
17.0,1.0,7.0,3.141032753205116
18.0,1.0,7.0,3.16045086473102
19.0,1.0,7.0,3.189974638449792
20.0,1.0,7.0,3.2288383288440596
15.0,2.0,7.0,7.705288672663781
16.0,2.0,7.0,7.630882350122387
17.0,2.0,7.0,7.578193104637462
18.0,2.0,7.0,7.544495980328697
19.0,2.0,7.0,7.528071391108269
20.0,2.0,7.0,7.526953726645684
15.0,3.0,7.0,12.646927769156308
16.0,3.0,7.0,12.434656238541445
17.0,3.0,7.0,12.265343912805701
18.0,3.0,7.0,12.13224364224324
19.0,3.0,7.0,12.03015302738082
20.0,3.0,7.0,11.95493663803098
15.0,4.0,7.0,18.63989781825037
16.0,4.0,7.0,18.019504241557264
17.0,4.0,7.0,17.55434563265024
18.0,4.0,7.0,17.193533143026194
19.0,4.0,7.0,16.909467604460087
20.0,4.0,7.0,16.68496368745106
15.0,5.0,7.0,18.604422661226
16.0,5.0,7.0,19.967725038899413
17.0,5.0,7.0,21.32922186163435
18.0,5.0,7.0,22.691416741701875
