Ni,Ti,Al,T_Ni3Ti
16.0,8.0,5.0,742.15
17.0,8.0,5.0,749.15
18.0,8.0,5.0,755.15
19.0,8.0,5.0,761.15
20.0,8.0,5.0,767.15
15.0,9.0,5.0,716.15
16.0,9.0,5.0,725.15
17.0,9.0,5.0,733.15
18.0,9.0,5.0,741.15
19.0,9.0,5.0,748.15
20.0,9.0,5.0,754.15
15.0,10.0,5.0,695.15
16.0,10.0,5.0,705.15
17.0,10.0,5.0,715.15
18.0,10.0,5.0,724.15
19.0,10.0,5.0,732.15
20.0,10.0,5.0,739.15
15.0,11.0,5.0,670.15
16.0,11.0,5.0,682.15
17.0,11.0,5.0,693.15
18.0,11.0,5.0,704.15
19.0,11.0,5.0,714.15
20.0,11.0,5.0,722.15
15.0,12.0,5.0,639.15
16.0,12.0,5.0,654.15
17.0,12.0,5.0,668.15
18.0,12.0,5.0,680.15
19.0,12.0,5.0,692.15
20.0,12.0,5.0,702.15
15.0,13.0,5.0,603.15
16.0,13.0,5.0,621.15
17.0,13.0,5.0,637.15
18.0,13.0,5.0,652.15
19.0,13.0,5.0,666.15
20.0,13.0,5.0,679.15
15.0,14.0,5.0,560.15
16.0,14.0,5.0,581.15
17.0,14.0,5.0,600.15
18.0,14.0,5.0,618.15
19.0,14.0,5.0,635.15
20.0,14.0,5.0,650.15
15.0,15.0,5.0,509.15
16.0,15.0,5.0,534.15
17.0,15.0,5.0,556.15
18.0,15.0,5.0,578.15
19.0,15.0,5.0,597.15
20.0,15.0,5.0,616.15
15.0,1.0,6.0,709.15
16.0,1.0,6.0,700.15
17.0,1.0,6.0,693.15
18.0,1.0,6.0,687.15
19.0,1.0,6.0,683.15
20.0,1.0,6.0,681.15
15.0,2.0,6.0,752.15
16.0,2.0,6.0,758.15
17.0,2.0,6.0,763.15
18.0,2.0,6.0,767.15
19.0,2.0,6.0,772.15
20.0,2.0,6.0,776.15
15.0,3.0,6.0,740.15
16.0,3.0,6.0,746.15
17.0,3.0,6.0,751.15
18.0,3.0,6.0,757.15
19.0,3.0,6.0,762.15
20.0,3.0,6.0,766.15
15.0,4.0,6.0,726.15
16.0,4.0,6.0,732.15
17.0,4.0,6.0,739.15
18.0,4.0,6.0,745.15
19.0,4.0,6.0,750.15
20.0,4.0,6.0,756.15
15.0,5.0,6.0,709.15
16.0,5.0,6.0,717.15
17.0,5.0,6.0,724.15
18.0,5.0,6.0,731.15
19.0,5.0,6.0,738.15
20.0,5.0,6.0,744.15
15.0,6.0,6.0,690.15
16.0,6.0,6.0,699.15
17.0,6.0,6.0,708.15
18.0,6.0,6.0,716.15
19.0,6.0,6.0,723.15
20.0,6.0,6.0,730.15
15.0,7.0,6.0,668.15
16.0,7.0,6.0,679.15
17.0,7.0,6.0,689.15
18.0,7.0,6.0,698.15
19.0,7.0,6.0,707.15
20.0,7.0,6.0,715.15
15.0,8.0,6.0,643.15
16.0,8.0,6.0,655.15
17.0,8.0,6.0,667.15
18.0,8.0,6.0,677.15
19.0,8.0,6.0,687.15
20.0,8.0,6.0,697.15
15.0,9.0,6.0,613.15
16.0,9.0,6.0,627.15
17.0,9.0,6.0,641.15
18.0,9.0,6.0,653.15
19.0,9.0,6.0,665.15
20.0,9.0,6.0,676.15
15.0,10.0,6.0,578.15
16.0,10.0,6.0,595.15
17.0,10.0,6.0,611.15
18.0,10.0,6.0,625.15
19.0,10.0,6.0,639.15
20.0,10.0,6.0,652.15
15.0,11.0,6.0,538.15
16.0,11.0,6.0,557.15
17.0,11.0,6.0,575.15
18.0,11.0,6.0,592.15
19.0,11.0,6.0,608.15
20.0,11.0,6.0,623.15
15.0,12.0,6.0,491.15
16.0,12.0,6.0,513.15
17.0,12.0,6.0,534.15
18.0,12.0,6.0,553.15
19.0,12.0,6.0,572.15
20.0,12.0,6.0,589.15
15.0,13.0,6.0,438.15
16.0,13.0,6.0,463.15
17.0,13.0,6.0,486.15
18.0,13.0,6.0,508.15
19.0,13.0,6.0,530.15
20.0,13.0,6.0,550.15
15.0,14.0,6.0,379.15
16.0,14.0,6.0,406.15
17.0,14.0,6.0,431.15
18.0,14.0,6.0,456.15
19.0,14.0,6.0,480.15
20.0,14.0,6.0,503.15
15.0,15.0,6.0,314.15
16.0,15.0,6.0,342.15
17.0,15.0,6.0,370.15
18.0,15.0,6.0,397.15
19.0,15.0,6.0,424.15
20.0,15.0,6.0,449.15
15.0,1.0,7.0,555.15
16.0,1.0,7.0,542.15
17.0,1.0,7.0,532.15
18.0,1.0,7.0,526.15
19.0,1.0,7.0,523.15
20.0,1.0,7.0,522.15
15.0,2.0,7.0,687.15
16.0,2.0,7.0,695.15
17.0,2.0,7.0,703.15
18.0,2.0,7.0,710.15
19.0,2.0,7.0,717.15
20.0,2.0,7.0,723.15
15.0,3.0,7.0,667.15
16.0,3.0,7.0,677.15
17.0,3.0,7.0,685.15
18.0,3.0,7.0,694.15
19.0,3.0,7.0,701.15
20.0,3.0,7.0,709.15
15.0,4.0,7.0,645.15
16.0,4.0,7.0,656.15
17.0,4.0,7.0,666.15
18.0,4.0,7.0,675.15
19.0,4.0,7.0,684.15
20.0,4.0,7.0,692.15
15.0,5.0,7.0,620.15
16.0,5.0,7.0,632.15
17.0,5.0,7.0,643.15
